,bond_id,cfets,broker,cfets-mean,cfets-std,cfets-z-score-c,cfets-z-score,broker-z-score,cfets-p,broker-p,cfets-p-z,broker-p-z,Vol,cfets-zs-grp,broker-zs-grp,cfets-p-z-grp,broker-p-z-grp,Vol-z-grp
0,220220.IB,202560520000.0,2961,2100958705.8823528,12850756116.523327,15.599047984139196,15.62972460764216,14.74991685001005,100,100,100.0,100.0,100.0,,,100.0,100.0,100.0
1,220208.IB,20962500000.0,935,2100958705.8823528,12850756116.523327,1.467737860954791,1.470624270548975,4.513204604749826,90,90,91.47062427054898,94.51320460474983,92.9919144376494,1.956630186878567,2.9211658287224394,91.95663018687857,92.92116582872244,92.4388980078005
2,220025.IB,21004520000.0,439,2100958705.8823528,12850756116.523327,1.471007707461797,1.4739005474388038,2.0070795930770364,90,90,91.4739005474388,92.00707959307704,91.74049007025792,1.9641631831073902,0.740732042347225,91.96416318310739,90.74073204234722,91.3524476127273
3,220008.IB,9283480000.0,207,2100958705.8823528,12850756116.523327,0.558918185746476,0.5600173376159066,0.834859829552667,90,90,90.5600173376159,90.83485982955267,90.69743858358429,-0.13708741465292332,-0.27914827708634293,89.86291258534708,89.72085172291365,89.79188215413036
4,220410.IB,9437000000.0,151,2100958705.8823528,12850756116.523327,0.5708645645126722,0.5719872097750334,0.5519102314605778,90,90,90.57198720977503,90.55191023146058,90.5619487206178,-0.10956562547993497,-0.5253262852254801,89.89043437452007,89.47467371477453,89.6825540446473
5,220215.IB,7042500000.0,170,2100958705.8823528,12850756116.523327,0.38453311613033264,0.38528932751194683,0.6479109879561081,90,90,90.38528932751194,90.64791098795611,90.51660015773402,-0.5388316766440868,-0.44180160389255857,89.4611683233559,89.55819839610744,89.50968335973167
6,210203.IB,9390000000.0,229,2100958705.8823528,12850756116.523327,0.5672071921702333,0.5683226449529974,0.946018600231702,90,90,90.568322644953,90.9460186002317,90.75717062259235,-0.11799139470303588,-0.1824354881745391,89.88200860529696,89.81756451182547,89.84978655856122
7,220311.IB,6109900000.0,326,2100958705.8823528,12850756116.523327,0.31196151088440666,0.3125750051070379,1.4361277254983564,90,90,90.31257500510704,91.43612772549835,90.87435136530269,-0.7060204506326807,0.24397999020932337,89.29397954936732,90.24397999020933,89.76897976978833
8,220210.IB,6110000000.0,202,2100958705.8823528,12850756116.523327,0.31196929252768846,0.3125828020534677,0.8095964725801591,90,90,90.31258280205347,90.80959647258015,90.56108963731681,-0.706002523464121,-0.3011284563844802,89.29399747653588,89.69887154361552,89.4964345100757
9,220019.IB,3897200000.0,142,2100958705.8823528,12850756116.523327,0.1397770899883521,0.14005197145344359,0.5064361889100635,85,85,85.14005197145345,85.50643618891006,85.32324408018175,0.30718250426944793,2.5224866080764294,85.30718250426945,87.52248660807643,86.41483455617293
10,220205.IB,5361000000.0,117,2100958705.8823528,12850756116.523327,0.2536847843471195,0.25418367329378855,0.3801194040475237,90,85,90.2541836732938,85.38011940404752,87.81715153867066,-0.8402770159769419,1.5638416644915338,89.15972298402306,86.56384166449153,87.86178232425729
11,230203.IB,4330000000.0,144,2100958705.8823528,12850756116.523327,0.17345604211191715,0.1737971556018937,0.5165415316990667,85,90,85.17379715560189,90.51654153169906,87.84516934365047,0.7573708651797637,-0.5560985362428722,85.75737086517977,89.44390146375713,87.60063616446845
12,220017.IB,4855000000.0,144,2100958705.8823528,12850756116.523327,0.2143096693412879,0.2147311243586782,0.5165415316990667,85,90,85.21473112435868,90.51654153169906,87.86563632802887,1.3034634933634879,-0.5560985362428722,86.3034634933635,89.44390146375713,87.87368247856031
13,220203.IB,5077700000.0,155,2100958705.8823528,12850756116.523327,0.2316393889298229,0.23209492405798468,0.5721209170385841,85,90,85.23209492405799,90.57212091703859,87.90210792054829,1.5351107853568504,-0.5077421417869703,86.53511078535685,89.49225785821302,88.01368432178494
14,220028.IB,6287150000.0,82,2100958705.8823528,12850756116.523327,0.3257544736013704,0.3263950926539713,0.20327590523996797,90,85,90.32639509265397,85.20327590523996,87.76483549894697,-0.6742445443604544,0.22173874347268013,89.32575545563955,85.22173874347268,87.27374709955612
15,220026.IB,4031130000.0,96,2100958705.8823528,12850756116.523327,0.1501990448356466,0.15049442180696004,0.2740133047629903,85,85,85.15049442180695,85.27401330476299,85.21225386328497,0.4464933341602026,0.7585799118802217,85.44649333416021,85.75857991188022,85.60253662302021
16,220016.IB,3805810000.0,104,2100958705.8823528,12850756116.523327,0.13266544619312887,0.13292634211119114,0.314434675919003,85,85,85.13292634211119,85.314434675919,85.2236805090151,0.21212077990809453,1.0653462938273883,85.21212077990809,86.06534629382739,85.63873353686773
17,190203.IB,5010000000.0,100,2100958705.8823528,12850756116.523327,0.2263712164280545,0.22681639132496695,0.2942239903409966,85,85,85.22681639132497,85.294223990341,85.26052019083298,1.464690840732016,0.9119631028538049,86.46469084073202,85.9119631028538,86.18832697179292
18,230002.IB,4411900000.0,144,2100958705.8823528,12850756116.523327,0.179829207959699,0.1801828547279521,0.5165415316990667,85,90,85.18018285472795,90.51654153169906,87.8483621932135,0.8425613151764247,-0.5560985362428722,85.84256131517643,89.44390146375713,87.64323138946678
19,220003.IB,1836460000.0,45,2100958705.8823528,12850756116.523327,-0.02058234577670212,-0.02062282240532982,0.01632706364340908,70,70,69.97937717759467,70.0163270636434,69.99785212061903,1.2461319131734125,1.2543087107772208,71.24613191317341,71.25430871077722,71.25022031197531
20,220012.IB,2749080000.0,49,2100958705.8823528,12850756116.523327,0.050434487141523265,0.050533670102892364,0.03653774922141545,85,85,85.0505336701029,85.03653774922141,85.04353570966215,-0.8870648638644517,-1.043672582059382,84.11293513613555,83.95632741794061,84.03463127703807
21,220010.IB,4130250000.0,79,2100958705.8823528,12850756116.523327,0.1579122096565518,0.15822275510824096,0.1881178910564632,85,85,85.15822275510824,85.18811789105646,85.17317032308236,0.5495956223612897,0.10670135024249265,85.5495956223613,85.10670135024249,85.3281484863019
22,210202.IB,3960000000.0,56,2100958705.8823528,12850756116.523327,0.14466396196931303,0.14494845381139798,0.07190644898292659,85,85,85.1449484538114,85.07190644898293,85.10842745139716,0.3725055843645677,-0.7752519978556113,85.37250558436457,84.2247480021444,84.79862679325448
23,220404.IB,1742000000.0,59,2100958705.8823528,12850756116.523327,-0.02793288602067614,-0.02798781800297908,0.08706446316643136,70,85,69.97201218199702,85.08706446316643,77.52953832258171,0.888179835771166,-0.6602146046254238,70.88817983577117,84.33978539537458,77.61398261557287
24,200203.IB,2419000000.0,54,2100958705.8823528,12850756116.523327,0.024748838997007656,0.02479750932719823,0.06180110619392341,85,85,85.0247975093272,85.06180110619393,85.04329930776056,-1.230406301408992,-0.8519435933424029,83.76959369859101,84.1480564066576,83.9588250526243
25,220411.IB,4820000000.0,43,2100958705.8823528,12850756116.523327,0.2115860941926632,0.21200219310822588,0.006221720854405896,85,70,85.21200219310822,70.00622172085441,77.60911195698131,1.2670573181512397,0.9860073822687244,86.26705731815125,70.98600738226872,78.62653235020998
26,210014.IB,1632250000.0,22,2100958705.8823528,12850756116.523327,-0.03647323952243507,-0.0365449667097545,-0.09988437843012754,70,50,69.96345503329024,49.900115621569874,59.93178532743006,0.4722869658273107,2.2217521935853037,70.47228696582731,52.2217521935853,61.347019579706306
27,220024.IB,1651830000.0,124,2100958705.8823528,12850756116.523327,-0.03494959376786159,-0.03501832459878719,0.41548810380903484,70,85,69.96498167540122,85.41548810380904,77.69023488960514,0.5464845274992988,1.8322622486953046,70.5464845274993,86.8322622486953,78.6893733880973
28,200212.IB,1830000000.0,61,2100958705.8823528,12850756116.523327,-0.021085039932705423,-0.021126505144699017,0.09716980595543455,70,85,69.9788734948553,85.09716980595543,77.53802165040537,1.2216520230609997,-0.5835230091386322,71.221652023061,84.41647699086137,77.81906450696118
29,190204.IB,1800000000.0,43,2100958705.8823528,12850756116.523327,-0.023419532917240894,-0.02346558907365813,0.006221720854405896,70,70,69.97653441092635,70.00622172085441,69.99137806589039,1.1079683228485564,0.9860073822687244,71.10796832284856,70.98600738226872,71.04698785255864
