date,open,high,low,close,volume,money
11/24/2005,100.39,101.97,100.39,101.44,58040,5887577.6
11/25/2005,101.45,101.84,101.43,101.77,25120,2556462.4
11/28/2005,101.8,102.18,101.8,101.86,30190,3075153.4
11/29/2005,101.92,102.15,100,100.18,337780,33838800.4
11/30/2005,100.2,100.32,100.01,100.09,269400,26964246
12/1/2005,100.14,100.17,100.04,100.05,113070,11312653.5
12/2/2005,100.12,100.5,100.09,100.49,64380,6469546.2
12/5/2005,100.68,100.83,100.46,100.8,26650,2686320
12/6/2005,100.58,100.87,100.58,100.77,18100,1823937
12/7/2005,100.8,101,100.8,101,42120,4254120
12/8/2005,101.18,101.33,100.82,100.88,49250,4968340
12/9/2005,100.88,101,100.75,100.9,32230,3252007
12/12/2005,100.9,101.3,100.86,101.27,66330,6717239.1
12/13/2005,101.27,101.68,101.27,101.6,30720,3121152
12/14/2005,101.51,101.58,101.47,101.51,15240,1547012.4
12/15/2005,101.53,101.6,101.49,101.58,8470,860382.6
12/16/2005,101.42,101.88,101.4,101.78,11860,1207110.8
12/19/2005,101.98,102,101.8,101.92,13530,1378977.6
12/20/2005,101.92,101.96,101.81,101.85,4450,453232.5
12/21/2005,101.85,101.85,101.56,101.75,34170,3476797.5
12/22/2005,101.74,101.85,101.72,101.82,25030,2548554.6
12/23/2005,101.8,101.94,101.78,101.92,10400,1059968
12/26/2005,102.17,102.18,101.94,102.16,18340,1873614.4
12/27/2005,102.16,102.25,102.15,102.21,9020,921934.2
12/28/2005,102.2,102.32,102.15,102.3,12350,1263405
12/29/2005,102.15,102.3,102.15,102.3,9220,943206
12/30/2005,102.45,102.67,102.45,102.55,10620,1089081
1/4/2006,102.55,102.9,102.55,102.81,3380,347497.8
1/5/2006,102.82,102.9,102.6,102.88,7050,725304
1/6/2006,102.9,103.18,102.89,103.18,23290,2403062.2
1/9/2006,103.19,103.56,103.18,103.56,27430,2840650.8
1/10/2006,103.5,103.76,103.5,103.6,42590,4412324
1/11/2006,103.69,103.86,103.69,103.86,31110,3231084.6
1/12/2006,103.88,103.94,103.7,103.85,26740,2776949
1/13/2006,103.88,103.88,103.7,103.87,9140,949371.8
1/16/2006,103.9,103.9,103.85,103.9,2950,306505
1/17/2006,103.97,104.4,103.97,104.31,10240,1068134.4
1/18/2006,104.4,104.6,104.35,104.5,35870,3748415
1/19/2006,104.45,104.45,104.2,104.39,11360,1185870.4
1/20/2006,104.23,104.49,104.22,104.38,17490,1825606.2
1/23/2006,103,104.44,103,104,34230,3559920
1/24/2006,103.7,104.09,103.65,104.09,8660,901419.4
1/25/2006,103.93,104.25,103.91,104.12,15830,1648219.6
2/6/2006,103.7,103.98,103.7,103.98,2100,218358
2/7/2006,103.8,104.6,103.7,104.6,126630,13245498
2/8/2006,104.21,104.8,104.2,104.8,14580,1527984
2/9/2006,104.33,104.69,104.32,104.55,8280,865674
2/10/2006,104.58,104.7,104.58,104.7,3720,389484
