id,visitors
air_00a91d42b08b08d9_2017-04-23,1.000
air_00a91d42b08b08d9_2017-04-24,21.457
air_00a91d42b08b08d9_2017-04-25,23.350
air_00a91d42b08b08d9_2017-04-26,27.125
air_00a91d42b08b08d9_2017-04-27,28.868
air_00a91d42b08b08d9_2017-04-28,35.500
air_00a91d42b08b08d9_2017-04-29,13.974
air_00a91d42b08b08d9_2017-04-30,1.000
air_00a91d42b08b08d9_2017-05-01,21.457
air_00a91d42b08b08d9_2017-05-02,23.350
air_00a91d42b08b08d9_2017-05-03,27.125
air_00a91d42b08b08d9_2017-05-04,28.868
air_00a91d42b08b08d9_2017-05-05,35.500
air_00a91d42b08b08d9_2017-05-06,13.974
air_00a91d42b08b08d9_2017-05-07,1.000
air_00a91d42b08b08d9_2017-05-08,21.457
air_00a91d42b08b08d9_2017-05-09,23.350
air_00a91d42b08b08d9_2017-05-10,27.125
air_00a91d42b08b08d9_2017-05-11,28.868
air_00a91d42b08b08d9_2017-05-12,35.500
air_00a91d42b08b08d9_2017-05-13,13.974
air_00a91d42b08b08d9_2017-05-14,1.000
air_00a91d42b08b08d9_2017-05-15,21.457
air_00a91d42b08b08d9_2017-05-16,23.350
air_00a91d42b08b08d9_2017-05-17,27.125
air_00a91d42b08b08d9_2017-05-18,28.868
air_00a91d42b08b08d9_2017-05-19,35.500
air_00a91d42b08b08d9_2017-05-20,13.974
air_00a91d42b08b08d9_2017-05-21,1.000
air_00a91d42b08b08d9_2017-05-22,21.457
air_00a91d42b08b08d9_2017-05-23,23.350
air_00a91d42b08b08d9_2017-05-24,27.125
air_00a91d42b08b08d9_2017-05-25,28.868
air_00a91d42b08b08d9_2017-05-26,35.500
air_00a91d42b08b08d9_2017-05-27,13.974
air_00a91d42b08b08d9_2017-05-28,1.000
air_00a91d42b08b08d9_2017-05-29,21.457
air_00a91d42b08b08d9_2017-05-30,23.350
air_00a91d42b08b08d9_2017-05-31,27.125
air_0164b9927d20bcc3_2017-04-23,0.000
air_0164b9927d20bcc3_2017-04-24,6.500
air_0164b9927d20bcc3_2017-04-25,8.560
air_0164b9927d20bcc3_2017-04-26,8.679
air_0164b9927d20bcc3_2017-04-27,8.846
air_0164b9927d20bcc3_2017-04-28,10.464
air_0164b9927d20bcc3_2017-04-29,5.409
air_0164b9927d20bcc3_2017-04-30,0.000
air_0164b9927d20bcc3_2017-05-01,6.500
air_0164b9927d20bcc3_2017-05-02,8.560
air_0164b9927d20bcc3_2017-05-03,8.679
air_0164b9927d20bcc3_2017-05-04,8.846
air_0164b9927d20bcc3_2017-05-05,10.464
air_0164b9927d20bcc3_2017-05-06,5.409
air_0164b9927d20bcc3_2017-05-07,0.000
air_0164b9927d20bcc3_2017-05-08,6.500
air_0164b9927d20bcc3_2017-05-09,8.560
air_0164b9927d20bcc3_2017-05-10,8.679
air_0164b9927d20bcc3_2017-05-11,8.846
air_0164b9927d20bcc3_2017-05-12,10.464
air_0164b9927d20bcc3_2017-05-13,5.409
air_0164b9927d20bcc3_2017-05-14,0.000
air_0164b9927d20bcc3_2017-05-15,6.500
air_0164b9927d20bcc3_2017-05-16,8.560
air_0164b9927d20bcc3_2017-05-17,8.679
air_0164b9927d20bcc3_2017-05-18,8.846
air_0164b9927d20bcc3_2017-05-19,10.464
air_0164b9927d20bcc3_2017-05-20,5.409
air_0164b9927d20bcc3_2017-05-21,0.000
air_0164b9927d20bcc3_2017-05-22,6.500
air_0164b9927d20bcc3_2017-05-23,8.560
air_0164b9927d20bcc3_2017-05-24,8.679
air_0164b9927d20bcc3_2017-05-25,8.846
air_0164b9927d20bcc3_2017-05-26,10.464
air_0164b9927d20bcc3_2017-05-27,5.409
air_0164b9927d20bcc3_2017-05-28,0.000
air_0164b9927d20bcc3_2017-05-29,6.500
air_0164b9927d20bcc3_2017-05-30,8.560
air_0164b9927d20bcc3_2017-05-31,8.679
air_0241aa3964b7f861_2017-04-23,9.781
air_0241aa3964b7f861_2017-04-24,7.921
air_0241aa3964b7f861_2017-04-25,7.621
air_0241aa3964b7f861_2017-04-26,8.853
air_0241aa3964b7f861_2017-04-27,4.556
air_0241aa3964b7f861_2017-04-28,6.787
air_0241aa3964b7f861_2017-04-29,12.892
air_0241aa3964b7f861_2017-04-30,9.781
air_0241aa3964b7f861_2017-05-01,7.921
air_0241aa3964b7f861_2017-05-02,7.621
air_0241aa3964b7f861_2017-05-03,8.853
air_0241aa3964b7f861_2017-05-04,4.556
air_0241aa3964b7f861_2017-05-05,6.787
air_0241aa3964b7f861_2017-05-06,12.892
air_0241aa3964b7f861_2017-05-07,9.781
air_0241aa3964b7f861_2017-05-08,7.921
air_0241aa3964b7f861_2017-05-09,7.621
air_0241aa3964b7f861_2017-05-10,8.853
air_0241aa3964b7f861_2017-05-11,4.556
air_0241aa3964b7f861_2017-05-12,6.787
air_0241aa3964b7f861_2017-05-13,12.892
air_0241aa3964b7f861_2017-05-14,9.781
air_0241aa3964b7f861_2017-05-15,7.921
air_0241aa3964b7f861_2017-05-16,7.621
air_0241aa3964b7f861_2017-05-17,8.853
air_0241aa3964b7f861_2017-05-18,4.556
air_0241aa3964b7f861_2017-05-19,6.787
air_0241aa3964b7f861_2017-05-20,12.892
air_0241aa3964b7f861_2017-05-21,9.781
air_0241aa3964b7f861_2017-05-22,7.921
air_0241aa3964b7f861_2017-05-23,7.621
air_0241aa3964b7f861_2017-05-24,8.853
air_0241aa3964b7f861_2017-05-25,4.556
air_0241aa3964b7f861_2017-05-26,6.787
air_0241aa3964b7f861_2017-05-27,12.892
air_0241aa3964b7f861_2017-05-28,9.781
air_0241aa3964b7f861_2017-05-29,7.921
air_0241aa3964b7f861_2017-05-30,7.621
air_0241aa3964b7f861_2017-05-31,8.853
air_0328696196e46f18_2017-04-23,9.529
air_0328696196e46f18_2017-04-24,5.417
air_0328696196e46f18_2017-04-25,6.286
air_0328696196e46f18_2017-04-26,6.059
air_0328696196e46f18_2017-04-27,8.294
air_0328696196e46f18_2017-04-28,5.727
air_0328696196e46f18_2017-04-29,7.059
air_0328696196e46f18_2017-04-30,9.529
air_0328696196e46f18_2017-05-01,5.417
air_0328696196e46f18_2017-05-02,6.286
air_0328696196e46f18_2017-05-03,6.059
air_0328696196e46f18_2017-05-04,8.294
air_0328696196e46f18_2017-05-05,5.727
air_0328696196e46f18_2017-05-06,7.059
air_0328696196e46f18_2017-05-07,9.529
air_0328696196e46f18_2017-05-08,5.417
air_0328696196e46f18_2017-05-09,6.286
air_0328696196e46f18_2017-05-10,6.059
air_0328696196e46f18_2017-05-11,8.294
air_0328696196e46f18_2017-05-12,5.727
air_0328696196e46f18_2017-05-13,7.059
air_0328696196e46f18_2017-05-14,9.529
air_0328696196e46f18_2017-05-15,5.417
